180,79,37,114
180,83,37,114
180,87,37,114
180,93,36,110
176,93,36,110
176,92,37,112
172,91,37,114
171,89,38,117
168,91,37,114
168,96,37,112
164,100,37,112
164,105,36,110
161,107,35,106
161,107,35,106
161,106,35,108
160,100,37,112
156,95,37,114
156,95,37,114
159,92,39,119
159,93,38,117
164,101,36,110
164,101,36,110
168,99,37,114
164,96,37,112
164,96,37,112
164,95,37,114
163,93,38,117
167,93,38,117
167,89,38,117
172,91,37,114
172,91,37,114
172,91,37,114
168,91,37,114
167,88,39,119
171,88,39,119
170,83,40,121
167,84,39,119
166,83,40,121
167,84,39,119
166,87,40,121
166,87,40,121
163,88,39,119
158,86,41,124
158,86,41,124
155,84,39,119
150,83,40,121
146,83,40,121
142,83,40,121
138,82,41,124
146,82,41,124
146,85,41,126
142,85,41,126
142,86,41,124
138,86,41,124
133,83,42,129
134,81,41,126
134,81,41,126
134,77,41,126
133,75,42,129
133,71,42,129
133,71,42,129
133,71,42,129
129,67,42,129
129,67,42,129
129,63,42,129
129,62,43,131
125,62,43,131
121,59,42,129
117,59,42,129
118,57,41,126
113,55,42,129
109,54,43,131
109,54,43,131
105,54,43,131
101,54,43,131
101,54,43,131
97,54,43,131
89,54,43,131
73,54,43,131
69,55,42,129
65,55,42,129
61,50,43,131
57,46,43,131
53,43,42,129
53,42,43,131
49,39,42,129
49,39,42,129
49,34,43,131
45,34,43,131
45,30,43,131
45,30,43,131
45,30,43,131
41,26,43,131
41,30,43,131
37,30,43,131
37,30,43,131
29,30,43,131
25,26,43,131
21,26,43,131
16,25,44,134
12,21,44,134
8,21,44,134
5,18,43,131
-3,14,43,131
-7,14,43,131
-11,10,43,131
-12,9,44,134
-16,1,44,134
-23,-2,43,131
-27,-6,43,131
-18,-11,41,126
-14,2,41,124
-14,-1,40,121
-5,4,39,119
3,16,39,119
-1,21,38,117
-5,21,38,117
-4,3,37,114
-9,5,38,117
-8,8,37,112
-8,8,37,112
-8,9,36,110
-12,5,36,110
-12,5,36,110
-12,5,36,110
-11,6,35,108
-11,7,35,106
-11,12,34,104
-6,14,33,100
-6,14,33,100
-6,18,33,100
-10,21,33,102
-6,33,33,102
-7,36,34,104
-7,36,34,104
-7,36,34,104
-6,38,33,100
-6,35,32,98
-5,36,31,96
-5,36,31,96
-5,33,31,94
-5,33,31,94
-5,34,30,92
-9,34,30,92
-5,25,31,94
-5,25,31,94
-5,30,30,92
-5,26,30,92
-5,22,30,92
-5,22,30,92
-5,21,31,94
-5,13,31,94
-5,9,31,94
-5,9,31,94
-5,1,31,94
-5,2,30,92
-5,3,30,90
-5,7,30,90
-5,3,30,90
-5,7,30,90
-5,7,30,90
-5,7,30,90
-5,7,30,90
-4,7,29,89
-4,3,29,89
-4,3,29,89
-4,3,29,89
-4,-1,29,89
-4,4,29,87
-4,4,29,87
-4,4,29,87
-4,4,29,87
-8,1,28,85
-4,9,28,85
-4,13,28,85
-4,13,28,85
-4,13,28,85
-4,1,28,85
-3,2,27,84
-3,6,27,84
-4,9,28,85
-4,5,28,85
-4,4,29,87
-4,3,29,89
-4,11,29,89
-4,15,29,89
0,11,29,89
-4,7,29,89
-4,7,29,89
-4,16,29,87
-4,16,29,87
-4,12,29,87
-4,12,29,87
-4,8,29,87
-4,12,29,87
-4,12,29,87
-4,11,29,89
-4,7,29,89
-4,3,29,89
-4,-1,29,89
-4,3,29,89
-4,3,29,89
-4,7,29,89
-4,7,29,89
-4,7,29,89
-4,7,29,89
-4,7,29,89
-4,7,29,89
-4,7,29,89
-4,7,29,89
-4,7,29,89
-4,3,29,89
-4,4,29,87
-4,5,28,85
-4,5,28,85
-4,9,28,85
-4,13,28,85
-4,9,28,85
-4,5,28,85
-4,1,28,85
-4,1,28,85
-4,1,28,85
-4,5,28,85
-4,13,28,85
-4,9,28,85
-4,9,28,85
0,8,29,87
-4,12,29,87
-4,16,29,87
-4,16,29,87
-4,12,29,87
-4,4,29,87
-4,4,29,87
-4,4,29,87
-4,4,29,87
-4,1,28,85
-4,1,28,85
0,-3,28,85
0,1,28,85
0,1,28,85
-3,-2,27,84
-3,-1,27,82
-3,-1,27,82
-3,0,26,80
-3,4,26,80
-3,4,26,80
-3,4,26,80
-3,4,26,80
-3,4,26,80
-3,4,26,80
-3,8,26,80
-3,8,26,80
-3,8,26,80
-3,8,26,80
1,3,27,82
-3,-1,27,82
-3,-1,27,82
-3,3,27,82
-3,3,27,82
-3,7,27,82
-3,12,26,80
-3,16,26,80
-3,16,26,80
-3,16,26,80
-3,16,26,80
-3,12,26,80
-3,4,26,80
-3,8,26,80
-3,12,26,80
-3,12,26,80
-3,8,26,80
-3,8,26,80
-3,4,26,80
-3,4,26,80
-3,4,26,79
-3,8,26,79
-3,12,26,79
-3,12,26,79
-3,12,26,79
-3,12,26,79
-3,12,26,79
-3,12,26,79
-3,12,26,79
-3,12,26,79
-3,8,26,79
-3,8,26,79
-3,8,26,79
-3,12,26,79
-3,8,26,79
-3,4,26,79
-3,4,26,79
-3,4,26,79
-3,4,26,79
-3,4,26,79
-3,8,26,79
-3,12,26,79
-3,16,26,79
-3,16,26,79
-3,8,26,79
-3,8,26,79
-3,4,26,79
-3,8,26,79
-3,8,26,79
-3,8,26,79
-3,8,26,79
-3,8,26,79
-3,8,26,79
